Case Studies & Campaigns,,,,,,,,,,
The most persuasive content you can give me. Even rough numbers ('sales up ~20%') help. One row per campaign.,,,,,,,,,,
,,,,,,,,,,
Client / brand,URL,Industry,Campaign goal,"What ran (format, market, dates)",Results / metrics,Quote from client (if any),OK to name client publicly?,logo filename,Image filename,Status
FanDuel,fanduel.com,Online Sports Betting / Gaming,Drive app downloads and sign-ups around game-day crowds,Proposed — mobile billboards around stadiums and arenas on game days,,,Yes (with logo),https://drive.google.com/file/d/1xwpk8HEShmRILCrx7_52R2H4Y0leL_GW/view?usp=drive_link,,
Fifth Third Bank,53.com,Banking / Financial Services,Drive checking growth and a positive ROMI in low-branch-presence growth DMAs — goal: 8% incremental household-production lift (Test vs Control) to reach break-even ROMI within 12 months,"12-month geo test: 3 Test DMAs vs 3 matched Control DMAs. 80–100 four-sided HD-wrapped delivery trucks per market, plus OOH (posters, billboards) and spectacular wallscapes, layered with geo-fenced social and paid search. Creative: “Introducing Fifth Third Free Checking” / “Working hard to make [DMA] a Fifth Third Better.”","Branded checking search-keyword clicks +96% (Test vs Control, pre/post); +4.2% incremental production-rate spread ≈ 8% household-production lift; 6,802 cumulative incremental checking households in 12 months; achieved better-than-break-even ROMI before 12 months (halo not included).","Truck advertising has grown into a key portion of our brand marketing budget, yielding record brand awareness and household production growth. — Nick Ferrugia, Director, Brand and Performance Marketing, Fifth Third Bank",Yes (with logo),https://drive.google.com/file/d/1Ur_aFruodhQLKB-9fUxJu-e66k4aB9Ci/view?usp=drive_link,https://drive.google.com/drive/folders/1jF47I8q-PAthMs7gjzlt4QMfByfwDMeA?usp=drive_link,
Floor & Decor,flooranddecor.com,Retail / Home Improvement,Drive grand-opening traffic and homeowner/contractor awareness,Proposed — mobile billboards in new-store trade areas,,,Yes (with logo),https://drive.google.com/file/d/12q09JkAblF2B0gGLeXBW0oj2qF4ZNaTm/view?usp=drive_link,https://drive.google.com/drive/folders/1McZjk1_GArWfNfPTE_mSLCwCT6Cl8uwx?usp=drive_link,
Hertz,hertz.com,Car Rental,"Reverse a multi-year decline in eCommerce revenue and shift brand perception, cost-effectively","12-month geo test: 4 Test markets vs 3 Control; 50 four-sided high-definition wrapped trucks per market, used as the primary top-of-funnel tactic.","Marketing ROI goals achieved; eCommerce revenue surpassed target, reversing a five-year downward trend.","Amid a transitional period requiring a shift in brand perception and tighter marketing budgets, Hertz leveraged truck advertising as its primary top-of-funnel tactic for high visibility and cost-effectiveness. The strategy reversed a five-year decline in eCommerce revenue. — Jeff Voorhees, Senior Director, Hertz",Yes (with logo),https://drive.google.com/file/d/1Svt6RfxpXGIFk6chGay0YjeXJRB6MnWG/view?usp=drive_link,https://drive.google.com/drive/folders/1dOZ_ZAvgkPW1PfIlIXvT2e1k4dJcTDB7?usp=drive_link,
Hogs,arkansasrazorbacks.com,Collegiate Athletics / Sports,"Drive ticket sales, merchandise, and fan engagement on game days",Proposed — mobile billboards around campus and stadiums on game days,,,Yes (with logo),https://drive.google.com/file/d/10lizb_3KQCyFdMjTdfdGCEiFov1hFWeM/view?usp=drive_link,,
Kaiser,kp.org,Healthcare,Drive open-enrollment awareness and new-member sign-ups,Proposed — mobile billboards across target service areas,,,Yes (with logo),https://drive.google.com/file/d/1zB4iICKWzicb8HNS4rkrdW9W2qWUz9ze/view?usp=drive_link,,
Morgan & Morgan,forthepeople.com,Legal Services,Build brand recall and drive case-intake calls,Proposed — mobile billboards through dense metro corridors,,,Yes (with logo),https://drive.google.com/file/d/1S4FsPTYMDKZsFgCUO8eZKka7suICjsMh/view?usp=drive_link,,
Mote Museum,mote.org,Nonprofit / Marine Science & Aquarium,Drive aquarium attendance and visitor awareness,Proposed — mobile billboards along Sarasota tourist routes and beaches,,,Yes (with logo),https://drive.google.com/file/d/1M9sDzzsLGguWP-qAYhvlC3jch3C8TQin/view?usp=drive_link,,
Mudflap,mudflapinc.com,Trucking / Fintech App,Reach owner-operators and drive app downloads,Proposed — mobile billboards along freight corridors and truck stops,,,Yes (with logo),https://drive.google.com/file/d/15We_b0ExpFTKaTGgc_KihBwuYW5B6yBj/view?usp=drive_link,,
Nationwide,nationwide.com,Insurance / Financial Services,Grow market share and profitability at lower cost than competitors with much larger ad budgets,12-month geo test: 6 Test markets vs 6 Control; 50 four-sided high-definition wrapped trucks per market.,Exceeded market-share growth goals in all 6 test markets; achieved profitability in all test markets vs control.,"“Truck advertising proved to be a cost-effective way to expand brand reach and frequency, providing a competitive advantage that drove incremental profitable market-share growth — specifically against industry leaders with significantly larger marketing budgets.” — Mark Hara, VP P&C Marketing, Nationwide Insurance",Yes (with logo),https://drive.google.com/file/d/1M_lhavNt6uN2Dy3O05rVihXJzrLdOk20/view?usp=drive_link,https://drive.google.com/drive/folders/1DXxWyeyfslOF3NG1mGUKETyMHkXWc_7u?usp=drive_link,
Ohio.net,ohio.net,Telecom / Internet Service Provider,Promote internet/phone services to local businesses,,,"In the past two years we have had Advertising Wheels promote for us at more than seven events and on 30 trucks. They continue to under promise and over deliver! — Alex Desberg, Director of Marketing, ohio.net",Yes (with logo),https://drive.google.com/file/d/10NaUKgmww2fOUCB5uRadM6x84NkmnAhY/view?usp=drive_link,,
Outer,liveouter.com,Retail / Outdoor Furniture,Build brand awareness and drive qualified site traffic,Proposed — mobile billboards in affluent suburban and lifestyle districts,,,Yes (with logo),https://drive.google.com/file/d/1-GFOom57rvDm2kCS8GJiTRpL7aO_vnqv/view?usp=drive_link,https://drive.google.com/drive/folders/1iQ0s9YL42I9MyfuHaRU0aLQFESt1UGN4?usp=drive_link,
Penn 811,pa1call.org,Utility / Public Safety,Reinforce 'call before you dig' safety awareness,Proposed — mobile billboards across Pennsylvania during peak dig season,,,Yes (with logo),https://drive.google.com/file/d/1KWj-8S47coQw6De4XJf2eU_36PgezMM_/view?usp=drive_link,,
Raising Cane's,raisingcanes.com,Quick-Service Restaurant,Drive grand-opening buzz and foot traffic,Proposed — mobile billboards near new locations and college campuses,,,Yes (with logo),https://drive.google.com/file/d/1yC0EirmtEOkBM5l0aNYgEKpw7bzULECW/view?usp=drive_link,https://drive.google.com/drive/folders/13Uo5RjgqfZ9iZG1HhJoTzxcx2HjV2dDK?usp=drive_link,
Reliable,reliableair.com,HVAC / Home Services,Drive service calls and brand recall in peak season,Proposed — mobile billboards across metro Atlanta in peak season,,,Yes (with logo),https://drive.google.com/file/d/1KeRdcTyx5MmFUJR3pfSvW4Nkx2Nib_J0/view?usp=drive_link,https://drive.google.com/drive/folders/1O7p8Cgwli3YAf-uZwJOPkG9W_JRGMb-w?usp=drive_link,
Saks Fifth,saksfifthavenue.com,Retail / Luxury Department Store,Elevate brand prestige and drive store traffic,,,"The client's goals and objectives are achieved... as the [DMG] team implement and execute outstanding results. Recognition is city wide... but memorable. — Jeff Byron, General Manager",Yes (with logo),https://drive.google.com/file/d/1kQhxPLiI_XLAEhbUZ3a4HnXLD576Sypb/view?usp=drive_link,,
Shock Top,shocktop.com,Beverages / Brewing,Boost brand visibility at point of consumption,"Proposed — mobile billboards at festivals, sports venues, and nightlife corridors",,,Yes (with logo),https://drive.google.com/file/d/19ZonxQuYsGUH51ZAuVZd498MSsNwl1RY/view?usp=drive_link,,
Stay Well,https://staywellhbcu.com/,Public Health — Vaccination Awareness (HBCUs),Raise vaccination awareness and drive a call to action at HBCUs across southern states,Mobile billboards at HBCU campuses across southern states,,,Yes (with logo),https://drive.google.com/file/d/1Cezn96-MRCJh5hCDL9d2nwnBgdnpQ-jv/view?usp=drive_link,,
Titan,,Insurance / Auto (Non-Standard) — Defunct,Drive awareness and quote requests among target drivers,Proposed — mobile billboards in target metros,,,Yes (with logo),https://drive.google.com/file/d/1xTbSlyLpNaAdSQpasZx-eeWMv7gvv4pO/view?usp=drive_link,https://drive.google.com/drive/folders/1Y0qnrvAx2FjmEdQlgw5pWedLWrByN_X8?usp=drive_link,
VW,vw.com,Automotive,Drive model-launch awareness and showroom traffic,Proposed — mobile billboards near dealerships and commuter corridors,,,Yes (with logo),https://drive.google.com/file/d/1Txdfa4B_gsYf_htYhkYfuNYfljmhGdKF/view?usp=drive_link,,
Warnock,warnock.senate.gov,Government / U.S. Senate,Drive name recognition and get-out-the-vote reach,Proposed — mobile billboards across Georgia in key districts,,,Yes (with logo),https://drive.google.com/drive/folders/1QBxyXDR4TQhpUKiM_d0SfGSoDgvyWazd,,
Wendy's,wendys.com,Quick-Service Restaurant,Drive foot traffic and amplify limited-time offers,,,"Advertising Wheels' value proposition is delivery of high impact visual messaging that is quick/easy to implement, unusually cost effective, and highly measurable. — Michael Sapienza, Former VP New Product Marketing, Wendy's International",Yes (with logo),https://drive.google.com/file/d/1zIVXwlMenu8Vu4ZKGdafkG-lkrWXLISK/view?usp=drive_link,https://drive.google.com/drive/folders/1PtzXpZiXDOGcOfU6pFijq5VZiUcxpV74?usp=drive_link,
Xfinity,xfinity.com,Telecom / Cable & Internet,Build awareness for bundles and drive new-customer sign-ups,Proposed — mobile billboards across target service areas,,,Yes (with logo),https://drive.google.com/file/d/1qllosI4AHRFdL2Sw1WlYwtTH7AJ9L8Yu/view?usp=drive_link,https://drive.google.com/drive/folders/1t5LuTbTAmEa2p_2ntQ5Lb4XYUpb0qFkx?usp=drive_link,
